Datum,Wochentag,Kursname,Lernart,Thema / Inhalt,Startzeit,Endzeit,Dauer (h),Lernmodus / Quelle,Beschreibung,Created_at
2025-01-10 00:00:00,Mittwoch,Excel,Selbststudium,Hausaufgaben,2025-01-10 10:00:00,2025-01-10 12:00:00,2.0,DSI,,2025-12-10 12:15:33.564942
2025-10-01,Mittwoch,EDA,Live-Call-Vorlesung,Live-Teilnehmen,2025-10-01T13:15:00,2025-10-01T14:45:00,1.5,DSI,,2025-10-12T12:16:32.538493
2025-10-02,Donnerstag,Excel,Selbststudium,Hausaufgaben,2025-10-02T09:00:00,2025-10-02T12:00:00,3.0,DSI,,2025-10-12T12:17:30.607931
2025-10-03,Freitag,EDA,Theorie-Video,Hausaufgaben,2025-10-03T09:00:00,2025-10-03T14:00:00,5.0,DSI,,2025-10-12T12:18:09.257863
2025-10-04,Samstag,EDA,Theorie-Video,Hören/sehen,2025-10-04T09:00:00,2025-10-04T13:00:00,4.0,DSI,,2025-10-12T12:18:56.206615
2025-10-05,Sonntag,EDA,Selbststudium,Hausaufgaben,2025-10-05T09:00:00,2025-10-05T15:00:00,6.0,DSI,,2025-10-12T12:19:38.740638
2025-10-06,Montag,Excel,Live-Call-Hausaufgaben,Live-Teilnehemn,2025-10-06T10:00:00,2025-10-06T11:00:00,1.0,DSI,,2025-10-12T12:20:38.728442
2025-10-07,Dienstag,Excel,Live-Call-Vorlesung,Live-Teilnehmen,2025-10-07T10:15:00,2025-10-07T11:45:00,1.5,DSI,,2025-10-12T12:23:45.885045
2025-10-08,Mittwoch,EDA,Live-Call-Vorlesung,Live-Teilnehmen,2025-10-08T13:15:00,2025-10-08T14:45:00,1.5,DSI,,2025-10-12T12:24:24.014982
2025-10-09,Donnerstag,Projekt,Selbststudium,Zeiterfassung,2025-10-09T08:30:00,2025-10-09T10:45:00,2.25,Excel,,2025-10-12T12:26:22.391062
2025-10-09,Donnerstag,ScrumPO,Selbststudium,Prüfungsvorbereitung,2025-10-09T16:45:00,2025-10-09T18:15:00,1.5,Udemy,,2025-10-12T12:27:03.826597
2025-10-10,Freitag,ScrumPO,Selbststudium,Prüfungsvorbereitung,2025-10-10T16:45:00,2025-10-10T18:00:00,1.25,Udemy,,2025-10-12T12:27:57.995445
2025-10-10,Freitag,Projekt,Selbststudium,ZeitErfassung,2025-10-10T12:30:00,2025-10-10T15:30:00,3.0,Python,,2025-10-12T12:31:28.559369
2025-10-10,Freitag,ScrumPO,Selbststudium,Prüfungsvorbereitung,2025-10-10T16:45:00,2025-10-10T18:00:00,1.25,Udemy,,2025-10-12T12:32:12.156414
2025-10-11,Samstag,ScrumPO,Selbststudium,Prüfungsvorbereitung,2025-10-11T13:00:00,2025-10-11T14:30:00,1.5,Udemy,,2025-10-12T12:32:39.518686
2025-10-12,Sonntag,ScrumPO,Selbststudium,Prüfungsvorbereitung,2025-10-12T09:30:00,2025-10-12T11:00:00,1.5,Udemy,,2025-10-12T12:33:04.844852
